filter,tp_pct,sl_pct,max_days,train_n,train_ev,train_tp_rate,train_sl_rate,train_sharpe,n,tp_rate,sl_rate,win_rate,ev,std,sharpe,total_ev,val_n,val_ev,val_tp_rate,val_sl_rate,generalize
⑮ 52週安値圏40%以内,10.0,-5.0,5,58094,0.4687,6.62,15.77,0.1167,58094,6.62,15.77,51.25,0.4687,4.0148,0.1167,27225.9,23119,-0.2778,7.03,25.37,False
⑮ 52週安値圏40%以内,10.0,-3.0,5,58094,0.438,5.79,32.77,0.1213,58094,5.79,32.77,47.33,0.438,3.6126,0.1213,25447.0,23119,-0.2377,5.77,45.65,False
㉓ 水・木のみ,10.0,-5.0,5,100997,0.4272,6.22,15.91,0.1076,100997,6.22,15.91,51.3,0.4272,3.971,0.1076,43143.6,47881,0.2918,7.68,22.4,True
⑭ 52週安値圏20%以内,10.0,-5.0,5,19251,0.425,6.95,16.82,0.1043,19251,6.95,16.82,50.76,0.425,4.0733,0.1043,8182.5,10182,-0.3873,6.66,27.11,False
⑮ 52週安値圏40%以内,7.0,-5.0,5,58094,0.4233,12.8,15.49,0.1139,58094,12.8,15.49,52.0,0.4233,3.7153,0.1139,24592.8,23119,-0.3044,12.25,24.85,False
⑭ 52週安値圏20%以内,10.0,-3.0,5,19251,0.4154,6.11,33.73,0.1138,19251,6.11,33.73,46.85,0.4154,3.6511,0.1138,7996.3,10182,-0.3039,5.61,47.13,False
⑮ 52週安値圏40%以内,7.0,-3.0,5,58094,0.3958,11.42,32.38,0.119,58094,11.42,32.38,48.0,0.3958,3.3268,0.119,22996.1,23119,-0.2591,10.34,45.01,False
㉓ 水・木のみ,10.0,-3.0,5,100997,0.3958,5.42,33.27,0.1109,100997,5.42,33.27,47.25,0.3958,3.5697,0.1109,39971.5,47881,0.2544,6.54,41.6,True
㉓ 水・木のみ,7.0,-5.0,5,100997,0.3727,12.05,15.66,0.1013,100997,12.05,15.66,51.89,0.3727,3.6803,0.1013,37641.7,47881,0.2228,14.26,21.89,True
⑭ 52週安値圏20%以内,7.0,-5.0,5,19251,0.3698,13.01,16.58,0.0983,19251,13.01,16.58,51.47,0.3698,3.7605,0.0983,7119.3,10182,-0.3993,12.15,26.65,False
⑮ 52週安値圏40%以内,10.0,-2.0,5,58094,0.3674,4.85,48.58,0.1136,58094,4.85,48.58,40.95,0.3674,3.235,0.1136,21345.4,23119,-0.1651,4.7,59.73,False
⑭ 52週安値圏20%以内,7.0,-3.0,5,19251,0.3667,11.66,33.36,0.1095,19251,11.66,33.36,47.49,0.3667,3.3506,0.1095,7059.9,10182,-0.3159,10.35,46.51,False
⑭ 52週安値圏20%以内,10.0,-2.0,5,19251,0.3657,5.16,49.01,0.112,19251,5.16,49.01,40.65,0.3657,3.2641,0.112,7040.7,10182,-0.2212,4.61,61.26,False
㉒ 月曜エントリー除外,10.0,-5.0,5,200826,0.3553,6.05,16.02,0.0899,200826,6.05,16.02,50.25,0.3553,3.9514,0.0899,71355.2,96537,0.2937,7.48,21.71,True
㉓ 水・木のみ,7.0,-3.0,5,100997,0.3458,10.75,32.95,0.105,100997,10.75,32.95,47.77,0.3458,3.2931,0.105,34924.5,47881,0.1983,12.48,40.92,True
㉓ 水・木のみ,10.0,-2.0,5,100997,0.3443,4.56,48.73,0.1078,100997,4.56,48.73,41.01,0.3443,3.1937,0.1078,34770.6,47881,0.2318,5.42,56.09,True
⑮ 52週安値圏40%以内,5.0,-5.0,5,58094,0.3426,21.36,15.09,0.1009,58094,21.36,15.09,53.26,0.3426,3.3952,0.1009,19903.2,23119,-0.3152,20.07,24.05,False
⑮ 52週安値圏40%以内,7.0,-2.0,5,58094,0.3277,9.75,48.17,0.1104,58094,9.75,48.17,41.5,0.3277,2.9676,0.1104,19040.1,23119,-0.1874,8.44,59.06,False
㉒ 月曜エントリー除外,10.0,-3.0,5,200826,0.3252,5.27,33.91,0.0916,200826,5.27,33.91,46.18,0.3252,3.5484,0.0916,65309.9,96537,0.2384,6.35,40.76,True
⑮ 52週安値圏40%以内,5.0,-3.0,5,58094,0.3209,19.31,31.75,0.1064,58094,19.31,31.75,49.15,0.3209,3.0163,0.1064,18643.5,23119,-0.2723,17.14,43.86,False
