limit_pct,n_signals,n_taken,participate_pct,ev_when_taken,win_rate,tp_rate,sl_rate,ev_per_signal,total_pnl_pct
0.0,319003,268037,84.02,-0.1527,45.74,6.1,12.25,-0.1283,-40932.29
-0.25,319003,243996,76.49,-0.1431,46.07,6.31,12.62,-0.1094,-34914.55
-0.5,319003,219116,68.69,-0.1114,46.55,6.75,13.08,-0.0765,-24415.06
-0.75,319003,192824,60.45,-0.0921,46.78,7.24,13.72,-0.0557,-17758.61
-1.0,319003,166984,52.35,-0.0803,46.88,7.83,14.55,-0.042,-13414.0
-1.25,319003,143017,44.83,-0.0664,46.89,8.51,15.52,-0.0298,-9499.7
-1.5,319003,121713,38.15,-0.0527,46.94,9.27,16.64,-0.0201,-6410.83
-1.75,319003,102851,32.24,-0.0462,46.8,10.14,17.79,-0.0149,-4749.87
-2.0,319003,87263,27.35,-0.0289,46.84,11.02,18.9,-0.0079,-2519.87
-2.25,319003,73816,23.14,-0.004,46.94,12.02,20.03,-0.0009,-298.15
-2.5,319003,62792,19.68,0.0196,47.07,13.09,21.22,0.0039,1230.09
-2.75,319003,53520,16.78,0.0468,47.14,14.21,22.44,0.0079,2506.07
-3.0,319003,45722,14.33,0.0672,47.11,15.36,23.61,0.0096,3072.6
-3.25,319003,39209,12.29,0.1031,47.33,16.62,24.86,0.0127,4043.04
-3.5,319003,33867,10.62,0.147,47.62,17.8,25.78,0.0156,4979.85
-3.75,319003,29407,9.22,0.2076,47.96,19.37,26.8,0.0191,6105.79
-4.0,319003,25580,8.02,0.2879,48.37,20.86,27.53,0.0231,7363.91
-4.25,319003,22396,7.02,0.3552,48.66,22.44,28.35,0.0249,7955.6
-4.5,319003,19680,6.17,0.4401,49.06,24.09,28.92,0.0271,8660.43
-4.75,319003,17377,5.45,0.5345,49.69,25.89,29.67,0.0291,9288.74
-5.0,319003,15453,4.84,0.6303,50.21,27.48,30.05,0.0305,9740.74
