feature,n,spearman,top_W平均,top_中央値,top_勝率,bot_W平均,bot_中央値,bot_勝率,top-bot_W差,top_n,period
close_in_range,1032081,-0.0204,-0.218,-0.2,38.0,-0.104,-0.2,41.7,-0.114,103211,TRAIN
day_return,1032365,-0.0041,-0.154,-0.2,42.0,-0.15,-0.2,42.7,-0.004,103242,TRAIN
body_pct,1032365,-0.0041,-0.154,-0.2,42.0,-0.15,-0.2,42.7,-0.004,103242,TRAIN
upper_shadow,1032365,0.0257,-0.045,-0.2,44.1,-0.212,-0.2,38.1,0.166,103274,TRAIN
lower_shadow,1032365,-0.0096,-0.156,-0.2,43.3,-0.127,-0.2,41.0,-0.03,103237,TRAIN
range_pct,1032365,0.0045,-0.103,-0.2,43.5,-0.165,-0.2,37.7,0.062,103238,TRAIN
vol_ratio,1023189,0.0023,-0.148,-0.2,42.3,-0.144,-0.2,40.6,-0.004,102319,TRAIN
gap_today,1031330,-0.0131,-0.24,-0.2,41.6,-0.089,-0.159,45.2,-0.151,103144,TRAIN
overnight_bias_5,1029435,0.006,-0.128,-0.2,43.2,-0.106,-0.2,44.6,-0.022,102944,TRAIN
overnight_bias_20,1022217,-0.0133,-0.184,-0.2,41.7,-0.082,-0.2,44.2,-0.102,102222,TRAIN
up_streak,1032365,0.0005,-0.141,-0.2,41.5,-0.152,-0.2,41.2,0.011,115623,TRAIN
relative_atr,1026226,0.0067,-0.108,-0.2,44.1,-0.176,-0.2,36.5,0.068,102623,TRAIN
ma25_diff_pct,1032365,-0.0232,-0.206,-0.2,40.7,-0.063,-0.166,45.1,-0.143,103237,TRAIN
rsi5,1032365,-0.0012,-0.135,-0.2,41.4,-0.102,-0.2,42.7,-0.034,103237,TRAIN
rsi14,1032365,-0.0188,-0.169,-0.2,39.7,-0.056,-0.164,43.9,-0.114,103237,TRAIN
dvs,1032365,-0.0072,-0.197,-0.2,40.4,-0.072,-0.2,42.9,-0.125,103237,TRAIN
vol_x_body,1023189,-0.0054,-0.159,-0.2,41.8,-0.147,-0.2,43.1,-0.012,102319,TRAIN
close_pos_x_vol,1022911,-0.0155,-0.208,-0.2,40.4,-0.115,-0.2,41.2,-0.093,102292,TRAIN
stage1_score,1032365,0.0029,-0.145,-0.2,41.4,-0.176,-0.2,40.1,0.031,142959,TRAIN
close_in_range,156383,-0.0552,-0.302,-0.2,36.6,-0.077,-0.124,44.8,-0.225,15651,VAL
day_return,156455,-0.0495,-0.264,-0.2,40.9,0.033,-0.073,47.5,-0.297,15646,VAL
body_pct,156455,-0.0495,-0.264,-0.2,40.9,0.033,-0.073,47.5,-0.297,15646,VAL
upper_shadow,156455,0.0593,0.156,-0.029,49.1,-0.173,-0.2,39.4,0.329,15646,VAL
lower_shadow,156455,0.0232,0.141,-0.019,49.6,-0.096,-0.141,43.3,0.237,15646,VAL
range_pct,156455,0.0206,0.086,-0.081,47.8,-0.101,-0.147,39.8,0.187,15646,VAL
vol_ratio,156455,0.0048,-0.051,-0.135,44.6,-0.068,-0.127,44.2,0.016,15646,VAL
gap_today,156455,0.005,-0.018,-0.028,49.1,0.227,0.109,52.0,-0.244,15647,VAL
overnight_bias_5,156455,-0.0105,0.092,-0.05,48.2,0.215,0.141,52.9,-0.123,15646,VAL
overnight_bias_20,156455,-0.0353,-0.127,-0.2,43.3,0.022,-0.014,49.7,-0.15,15646,VAL
up_streak,156455,-0.0343,-0.046,-0.131,44.6,-0.006,-0.107,45.5,-0.04,16536,VAL
relative_atr,156455,0.0241,0.005,-0.122,47.4,-0.126,-0.181,36.8,0.132,15646,VAL
ma25_diff_pct,156455,-0.0464,-0.196,-0.2,42.9,0.233,0.028,50.6,-0.429,15646,VAL
rsi5,156455,-0.0335,-0.02,-0.131,44.0,0.087,-0.062,47.4,-0.107,15646,VAL
rsi14,156455,-0.0206,-0.134,-0.2,41.5,0.006,-0.134,45.0,-0.141,15647,VAL
dvs,156455,-0.0438,-0.148,-0.18,42.5,0.174,-0.026,49.0,-0.322,15646,VAL
vol_x_body,156455,-0.0455,-0.182,-0.2,42.0,0.046,-0.08,47.2,-0.228,15646,VAL
close_pos_x_vol,156383,-0.0347,-0.132,-0.2,42.0,-0.072,-0.122,44.7,-0.059,15639,VAL
stage1_score,156455,-0.034,-0.126,-0.2,41.8,-0.139,-0.14,44.7,0.013,20755,VAL
